Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1325,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1326,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1327,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1328,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1329,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1330,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1331,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1332,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1333,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1334,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1335,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1336,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1337,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1338,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1339,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1340,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1341,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1342,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1343,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1344,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1345,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
