Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1142,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1143,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,571
1144,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1145,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,1354
1146,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,1354
1147,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1148,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,520
1149,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,1354
1150,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,1354
1151,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1152,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,1234
1153,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,118
1154,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,140
1155,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,346
1156,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,491
1157,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,118
1158,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,140
1159,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,1241
1160,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,1354
1161,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,1354
1162,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1163,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,1234
1164,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1165,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1166,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1167,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1168,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,618
1169,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,85
1170,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1171,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,118
1172,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,1392
1173,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,85
1174,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1175,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1176,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,618
1177,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,85
1178,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
